longitude,latitude,Feature:string,GLF#:integer,parent_ima:string,glf_head_e:double,glf_head_l:double,glf_termin:double,glf_termin1:double,midchannel:double,midchannel1:double,midchannel2:double,midchannel3:double,center_e_l:double,center_lat:double,glf_length:double,glf_width_:double,glf_area_s:double,glf_orient:double,buffer_min:double,buffer_max:double,buffer_mea:double,buffer_std:double,elongation:double,Fill Color:color
268.3074,38.7483,point,78,B01_009856_2194_XN_39N091W,268.3003,38.7766,268.3145,38.7293,268.2822,38.7461,268.3047,38.7505,268.31,38.75,2.88,1.07,3.09,166.82,660.0,1607.0,944.07,192.86,2.69,0 204 255
256.4198,38.33405,point,79,P14_006679_2186_XN_38N103W,256.4161,38.3258,256.4235,38.3408,256.428,38.3329,256.4132,38.3352,256.42,38.33,0.95,0.7,0.67,21.15,3219.0,4085.0,3927.44,124.43,1.36,0 204 255
251.73445,33.40605,point,80,P17_007523_2127_XI_32N108W,251.7314,33.3987,251.7375,33.413,251.7416,33.4039,251.728,33.4082,251.73,33.41,0.9,0.72,0.65,19.6,2337.0,3237.0,3041.99,121.23,1.25,0 204 255
248.80556,44.92165,point,81,P16_007233_2267_XN_46N111W,248.7932,44.9063,248.8179,44.9373,248.8215,44.9177,248.7861,44.9256,248.81,44.92,2.11,1.56,3.29,29.42,3569.0,4522.0,4139.02,217.64,1.35,0 204 255
249.32625,41.69145,point,82,B05_011650_2226_XN_42N111W,249.321,41.6789,249.3315,41.6998,249.3392,41.69,249.3198,41.6929,249.33,41.69,1.32,0.88,1.16,20.56,5558.0,5967.0,5894.09,45.82,1.51,0 204 255
239.03815,34.35865,point,83,P08_004293_2150_XI_35N121W,239.0435,34.3485,239.0328,34.3672,239.0417,34.3606,239.032,34.3567,239.04,34.36,1.23,0.53,0.65,334.72,1793.0,1945.0,1901.17,23.33,2.32,0 204 255
230.28481,37.028,point,84,P15_006825_2179_XN_37N129W,230.2446,36.9973,230.325,37.0491,230.2925,37.0225,230.2808,37.0335,230.28,37.03,4.89,0.86,4.18,51.07,-161.0,973.0,556.62,251.27,5.72,0 204 255
230.12904,37.68985,point,85,P15_006825_2179_XN_37N129W,230.1189,37.6409,230.1392,37.7266,230.1387,37.6885,230.1213,37.6912,230.13,37.69,5.17,0.83,4.3,10.61,133.0,2274.0,1204.06,562.19,6.21,0 204 255
229.08154,37.26295,point,86,P02_001656_2176_XI_37N130W,229.1309,37.1697,229.0322,37.4343,229.1152,37.2742,229.0537,37.2517,229.08,37.26,16.36,3.19,52.23,343.5,11.0,699.0,325.55,154.2,5.12,0 204 255
229.26535,35.81885,point,87,P03_002144_2165_XI_36N130W,229.165,35.8767,229.3657,35.7566,229.2773,35.8103,229.2886,35.8274,229.27,35.82,11.99,1.15,13.79,126.37,982.0,1443.0,1241.34,83.28,10.43,0 204 255
228.82104,37.9035,point,89,P04_002632_2173_XI_37N130W,228.8064,37.8687,228.8357,37.9348,228.8284,37.9002,228.8079,37.9068,228.82,37.9,4.15,1.04,4.3,19.27,-1363.0,-174.0,-817.54,332.68,4.01,0 204 255
229.7538,45.97545,point,90,P04_002645_2268_XN_46N130W,229.7593,45.9451,229.7483,46.0032,229.7751,45.9802,229.7451,45.9707,229.75,45.98,3.47,1.36,4.72,352.51,-2148.0,-1710.0,-1876.02,137.28,2.56,0 204 255
229.396,35.96085,point,91,B05_011598_2163_XN_36N130W,229.3613,35.9946,229.4307,35.9334,229.3882,35.9546,229.3989,35.9671,229.4,35.96,4.92,0.9,4.44,137.43,247.0,960.0,615.55,193.54,5.46,0 204 255
229.43385,35.97155,point,92,B05_011598_2163_XN_36N130W,229.4312,36.001,229.4365,35.9514,229.429,35.9729,229.4451,35.9702,229.43,35.97,2.95,0.79,2.33,175.06,159.0,1071.0,587.6,260.35,3.74,0 204 255
228.4297,37.70695,point,93,P15_006891_2165_XN_36N131W,228.45,37.6952,228.4094,37.7226,228.4342,37.7133,228.427,37.7006,228.43,37.71,2.5,0.83,2.06,310.48,-1133.0,193.0,-600.19,308.03,3.03,0 204 255
226.13905,38.42825,point,94,P13_006245_2196_XN_39N133W,226.1182,38.4053,226.1599,38.4695,226.1575,38.4275,226.1411,38.429,226.14,38.43,4.27,0.77,3.27,26.95,-1454.0,65.0,-681.0,456.32,5.57,0 204 255
225.94495,38.45005,point,95,P13_006245_2196_XN_39N133W,225.9507,38.4292,225.9392,38.4656,225.9514,38.4509,225.9312,38.4492,225.94,38.45,2.22,0.94,2.1,346.11,-1476.0,347.0,-407.27,519.74,2.36,0 204 255
226.37206,37.97345,point,96,P13_006245_2196_XN_39N133W,226.2651,37.9802,226.479,38.0281,226.4307,37.9588,226.4287,37.9881,226.37,37.97,10.39,1.74,18.06,74.07,-196.0,528.0,356.27,97.44,5.97,0 204 255
